排名,球员,球队,18-19赛季得分,命中率,三分命中率,罚球命中率,场次,上场时间,罚球命中数,罚球数,三分命中数,三分投篮数,赛季投篮命中数,18_19赛季场均投篮次数
169,兰德里-沙梅特,76人,8.3,0.441,0.40399999999999997,0.815,54,20.5,0.8,1.0,1.8,4.5,2.8,6.4
170,埃弗里-布拉德利,快船,8.2,0.38299999999999995,0.337,0.8,49,29.9,0.4,0.5,1.2,3.5,3.3,8.6
171,兰斯顿-加洛韦,活塞,8.1,0.37799999999999995,0.33299999999999996,0.807,51,21.5,0.9,1.1,1.6,4.8,2.8,7.4
171,巴姆-阿德巴约,热火,8.1,0.563,0.111,0.7290000000000001,51,22.1,2.1,2.8,0.0,0.2,3.0,5.3
171,戴维斯-贝尔坦斯,马刺,8.1,0.48200000000000004,0.47200000000000003,0.833,49,20.9,0.5,0.6,2.1,4.4,2.8,5.8
171,里乔恩-霍姆斯,太阳,8.1,0.664,0.0,0.7170000000000001,49,16.4,1.6,2.3,0.0,0.0,3.2,4.9
175,米卡尔-布里奇斯,太阳,8.0,0.43799999999999994,0.36,0.807,55,27.4,0.8,1.0,1.4,3.8,2.9,6.6
175,凯尔-安德森,灰熊,8.0,0.5429999999999999,0.265,0.578,43,29.8,0.9,1.5,0.2,0.8,3.5,6.4
177,谢尔文-麦克,灰熊,7.9,0.414,0.359,0.7070000000000001,53,22.7,1.0,1.4,0.9,2.4,3.0,7.3
177,达柳斯-米勒,鹈鹕,7.9,0.397,0.376,0.8370000000000001,49,25.3,0.7,0.9,1.9,5.1,2.6,6.6
177,PJ-塔克,火箭,7.9,0.39799999999999996,0.364,0.647,53,35.4,0.6,1.0,1.8,4.9,2.8,6.9
177,马里奥-海佐尼亚,尼克斯,7.9,0.406,0.27699999999999997,0.693,44,19.0,1.2,1.7,0.7,2.5,3.0,7.4
181,安东尼奥-布莱克尼,公牛,7.8,0.423,0.457,0.679,40,14.5,0.9,1.4,0.8,1.8,3.0,7.1
181,托马什-萨托兰斯基,奇才,7.8,0.494,0.424,0.789,53,24.0,1.3,1.7,0.7,1.7,2.9,5.8
181,梅森-普拉姆利,掘金,7.8,0.598,0.16699999999999998,0.529,53,20.0,1.4,2.6,0.0,0.1,3.2,5.3
181,迈克尔-基德-吉尔克里斯特,黄蜂,7.8,0.483,0.278,0.78,46,19.8,1.9,2.4,0.2,0.8,2.9,5.9
185,多里安-芬尼-史密斯,独行侠,7.7,0.461,0.34600000000000003,0.667,52,24.6,0.9,1.4,1.0,3.0,2.9,6.2
185,埃文-特纳,开拓者,7.7,0.47,0.16699999999999998,0.6920000000000001,51,24.1,1.1,1.5,0.1,0.8,3.2,6.9
187,胡安-埃尔南戈麦斯,掘金,7.6,0.46299999999999997,0.39799999999999996,0.778,51,23.3,1.2,1.6,1.2,3.2,2.6,5.6
187,兰斯-史蒂芬森,湖人,7.6,0.446,0.38799999999999996,0.672,53,16.2,0.8,1.1,1.1,2.9,2.9,6.4
189,乔治-希尔,雄鹿,7.5,0.45,0.337,0.815,40,22.9,1.1,1.4,0.8,2.5,2.8,6.2
189,斯坦利-约翰逊,活塞,7.5,0.381,0.282,0.804,48,20.0,0.9,1.1,1.1,3.8,2.8,7.3
191,丹特-埃克萨姆,爵士,7.4,0.43200000000000005,0.305,0.7909999999999999,39,16.3,1.7,2.2,0.5,1.5,2.6,6.0
191,吉列尔莫-埃尔南戈麦斯,黄蜂,7.4,0.519,0.433,0.6759999999999999,44,13.8,1.6,2.4,0.3,0.7,2.7,5.2
191,迈克-穆斯卡拉,76人,7.4,0.392,0.342,0.818,47,22.1,1.3,1.6,1.5,4.2,2.3,5.9
191,詹姆斯-恩尼斯,火箭,7.4,0.5,0.373,0.7140000000000001,39,23.6,1.0,1.4,1.1,3.0,2.6,5.3
191,小德里克-琼斯,热火,7.4,0.512,0.365,0.616,37,18.1,1.2,2.0,0.5,1.4,2.8,5.5
196,奎因-库克,勇士,7.3,0.46399999999999997,0.39799999999999996,0.75,44,14.8,0.3,0.4,1.1,2.8,2.9,6.3
196,帕特里克-贝弗利,快船,7.3,0.392,0.38299999999999995,0.768,55,26.7,1.4,1.8,1.4,3.5,2.3,5.9
196,约什-奥科吉,森林狼,7.3,0.359,0.254,0.752,45,22.1,1.7,2.2,0.8,3.0,2.4,6.8
199,杰克-莱曼,开拓者,7.1,0.52,0.359,0.731,41,17.0,0.5,0.6,0.9,2.5,2.9,5.5
199,科里-约瑟夫,步行者,7.1,0.43200000000000005,0.35200000000000004,0.7,54,25.7,0.4,0.6,0.8,2.3,2.9,6.8
199,扎克-科林斯,开拓者,7.1,0.479,0.349,0.7979999999999999,52,18.6,1.3,1.6,0.6,1.6,2.6,5.5
202,约纳斯-杰雷布科,勇士,7.0,0.47,0.36200000000000004,0.825,48,18.7,1.0,1.2,1.0,2.9,2.5,5.3
202,OG-阿奴诺比,猛龙,7.0,0.434,0.324,0.425,44,20.0,0.4,0.9,1.0,3.2,2.8,6.4
204,安特-日日奇,骑士,6.9,0.523,0.0,0.733,38,16.0,1.5,2.0,0.0,0.0,2.7,5.2
204,乔纳森-西蒙斯,魔术,6.9,0.364,0.22899999999999998,0.778,41,20.6,1.4,1.8,0.5,2.0,2.5,7.0
204,德雷蒙德-格林,勇士,6.9,0.41100000000000003,0.247,0.735,37,31.2,1.0,1.3,0.6,2.4,2.7,6.5
204,德朗-赖特,猛龙,6.9,0.433,0.33299999999999996,0.8690000000000001,49,18.3,1.1,1.2,0.6,1.8,2.6,6.0
204,凯文-卢尼,勇士,6.9,0.623,0.1,0.623,52,21.0,0.9,1.5,0.0,0.2,3.0,4.8
209,贾斯廷-杰克逊,国王,6.7,0.424,0.34600000000000003,0.82,52,20.8,0.8,1.0,1.1,3.1,2.4,5.7
209,道格-麦克德莫特,步行者,6.7,0.46399999999999997,0.38799999999999996,0.865,51,17.5,0.9,1.0,1.1,2.9,2.4,5.1
209,杰伦-布伦森,独行侠,6.7,0.434,0.33799999999999997,0.691,44,17.3,0.9,1.2,0.6,1.8,2.6,6.0
212,迈尔斯-布里奇斯,黄蜂,6.6,0.44799999999999995,0.316,0.741,51,19.1,0.8,1.1,0.7,2.3,2.5,5.7
213,贾马尔-克劳福德,太阳,6.5,0.366,0.289,0.809,45,18.0,1.2,1.5,0.8,2.7,2.3,6.2
213,文斯-卡特,老鹰,6.5,0.41600000000000004,0.38,0.7140000000000001,49,15.8,0.4,0.6,1.4,3.8,2.3,5.6
213,特伦斯-弗格森,雷霆,6.5,0.435,0.389,0.64,45,23.8,0.4,0.6,1.4,3.5,2.4,5.5
213,TJ-麦康奈尔,76人,6.5,0.542,0.313,0.769,48,21.1,0.4,0.5,0.2,0.7,3.0,5.5
217,丹尼尔-泰斯,凯尔特人,6.4,0.557,0.419,0.741,40,15.0,1.1,1.5,0.4,1.1,2.5,4.4
217,德文-哈里斯,独行侠,6.4,0.41700000000000004,0.307,0.735,40,15.1,1.2,1.7,0.9,2.8,2.1,5.2
219,托里-克雷格,掘金,6.3,0.43700000000000006,0.292,0.64,48,22.9,0.7,1.0,0.8,2.7,2.4,5.5
219,塞思-库里,开拓者,6.3,0.445,0.485,1.0,46,17.8,0.2,0.2,1.4,2.9,2.4,5.3
219,托尼-斯内尔,雄鹿,6.3,0.462,0.42,0.892,52,17.2,0.6,0.7,1.2,2.9,2.2,4.8
222,穆罕默德-班巴,魔术,6.2,0.48100000000000004,0.3,0.5870000000000001,47,16.3,0.8,1.3,0.4,1.5,2.5,5.2
222,马克西-克勒贝尔,独行侠,6.2,0.444,0.336,0.7959999999999999,47,19.1,0.8,1.0,1.0,2.9,2.2,4.9
224,弗兰克-杰克逊,鹈鹕,6.1,0.444,0.325,0.784,39,14.9,0.7,0.9,0.7,2.0,2.3,5.3
