,0,1,2,3,4,5,6,7,8,9,10,11
26,126,贾斯廷-霍勒迪,灰熊,10.50,3.60-9.80,37.1%,2.10-6.20,34.5%,1.10-1.30,88.7%,55,32.80
27,126,泰瑞克-埃文斯,步行者,10.50,3.80-9.80,38.6%,1.20-3.40,35.6%,1.70-2.30,76.4%,47,20.60
28,128,泰-吉布森,森林狼,10.40,4.30-7.60,56.2%,0.20-0.60,33.3%,1.60-2.20,73.3%,52,25.30
29,129,温德尔-卡特,公牛,10.30,4.10-8.40,48.5%,0.10-0.70,18.8%,2.00-2.50,79.5%,44,25.20
30,129,德维恩-戴德蒙,老鹰,10.30,3.90-8.10,48.4%,1.20-3.20,37.4%,1.30-1.50,86.4%,43,24.70
31,129,马文-威廉姆斯,黄蜂,10.30,3.70-8.80,42%,2.00-5.30,38.1%,0.90-1.30,72.7%,52,28.30
32,129,弗雷德-范弗利特,猛龙,10.30,3.60-9.00,40%,1.60-4.40,36.7%,1.40-1.70,83.1%,49,26.80
33,133,肯塔维厄斯-考德威尔-波普,湖人,10.20,3.50-8.10,42.8%,1.60-4.60,34.1%,1.70-2.00,85.8%,54,23.90
34,133,亚历克斯-莱恩,老鹰,10.20,3.90-8.10,48.1%,0.50-1.80,27.9%,1.90-2.80,67.9%,49,19.60
35,133,达伦-科里森,步行者,10.20,3.80-8.10,46.5%,1.10-2.50,42.2%,1.60-2.00,81.7%,54,27.90
36,136,阿朗佐-特里尔,尼克斯,10.10,3.40-7.60,44.7%,0.60-1.70,37.2%,2.60-3.10,84%,46,21.90
37,136,谢伊-吉尔杰斯-亚历山大,快船,10.10,3.90-8.40,46.3%,0.50-1.50,32.1%,1.80-2.20,81.1%,55,26.00
38,138,沙巴兹-内皮尔,篮网,10.00,3.10-8.10,39%,1.40-4.00,34.7%,2.30-2.80,83.5%,43,17.90
39,139,内马尼亚-别利察,国王,9.90,3.80-7.80,48%,1.40-3.40,42.1%,0.90-1.20,76.2%,52,23.60
40,139,朗佐-鲍尔,湖人,9.90,3.90-9.70,40.6%,1.60-4.80,32.9%,0.40-1.00,41.7%,47,30.30
41,141,达里奥-沙里奇,森林狼,9.80,3.50-8.30,41.9%,1.40-4.00,34.5%,1.50-1.70,87.8%,52,24.80
42,141,杰迈克尔-格林,灰熊,9.80,3.70-7.60,48.4%,0.90-2.30,39.6%,1.50-2.00,78.8%,41,22.00
43,143,丹尼-格林,猛龙,9.70,3.50-8.00,44.2%,2.20-5.30,41.8%,0.40-0.50,88.5%,53,28.70
44,143,帕蒂-米尔斯,马刺,9.70,3.40-7.80,42.9%,1.80-4.60,39.7%,1.20-1.40,85.7%,55,23.70
45,145,德里克-怀特,马刺,9.60,3.70-7.40,50%,0.70-1.90,35.6%,1.50-1.90,77%,45,25.30
46,145,托尼-帕克,黄蜂,9.60,3.80-8.30,45.7%,0.20-0.90,22.5%,1.80-2.40,73%,46,18.20
47,147,艾尔-法鲁克-阿米奴,开拓者,9.50,3.10-7.30,43%,1.30-3.70,35.1%,1.90-2.20,83.6%,52,29.60
48,148,加莱特-坦普尔,灰熊,9.40,3.40-7.90,42.9%,1.50-4.30,35.2%,1.20-1.50,75%,49,31.20
49,148,尼古拉斯-巴图姆,黄蜂,9.40,3.40-7.30,46.8%,1.50-3.60,40.5%,1.10-1.30,85.5%,53,31.10
50,150,凯文-赫尔特,老鹰,9.30,3.50-8.30,41.5%,1.80-4.60,39.4%,0.60-0.80,75.6%,49,27.20
0,排名,球员,球队,得分,命中-出手,命中率,命中-三分,三分命中率,命中-罚球,罚球命中率,场次,上场时间
1,150,杰拉德-格林,火箭,9.30,3.20-7.90,40.7%,2.20-6.20,34.9%,0.70-0.90,81%,49,21.20
2,150,特雷-莱尔斯,掘金,9.30,3.60-8.40,42.5%,0.80-3.30,25.7%,1.40-2.00,69%,51,18.90
3,150,朗戴-霍利斯-杰弗森,篮网,9.30,3.50-8.60,40.2%,0.20-0.90,22%,2.20-3.30,64.6%,44,22.50
4,154,丹伊恩-多特森,尼克斯,9.20,3.50-8.10,43%,1.40-3.80,38%,0.80-1.20,68.6%,44,24.90
5,155,托马斯-布莱恩特,奇才,9.10,3.70-5.70,64.8%,0.30-0.80,38.9%,1.30-1.60,81.4%,43,18.90
